dbsize, batchsize, write-batch(ms), SQL-Recursion(ms), Subpart-Table(ms), Traversal(ms)
5000, 5000, 112489, 3256, 2384, 13690
10000, 5000, 114373, 4212, 1411, 13357
15000, 5000, 120876, 2087, 1283, 10738
20000, 5000, 110850, 2307, 1346, 13558
25000, 5000, 111551, 2570, 1379, 13663
30000, 5000, 126038, 2880, 1289, 14122
35000, 5000, 121532, 3186, 1375, 14772
40000, 5000, 107157, 3482, 1388, 13727
45000, 5000, 124663, 3913, 1396, 14042
50000, 5000, 113805, 4097, 1397, 13447
55000, 5000, 125368, 4351, 1360, 13865
60000, 5000, 107599, 1045, 1144, 9271
65000, 5000, 83801, 1062, 1141, 9844
70000, 5000, 76784, 1097, 1186, 9073
75000, 5000, 97906, 1159, 1434, 13738
80000, 5000, 110782, 1109, 1264, 11129
85000, 5000, 111040, 1206, 1357, 14112
90000, 5000, 124062, 1171, 1128, 12699
95000, 5000, 114900, 1185, 1372, 13855
100000, 5000, 111172, 1159, 1380, 13824
105000, 5000, 119714, 1181, 1368, 13887
110000, 5000, 113421, 1178, 1388, 14168
115000, 5000, 113846, 1189, 1385, 14424
120000, 5000, 131475, 1185, 1383, 14317
125000, 5000, 115218, 1219, 1588, 13932
130000, 5000, 113821, 1340, 1534, 14725
135000, 5000, 127555, 1172, 1369, 13941
140000, 5000, 114524, 1100, 1239, 13367
145000, 5000, 116783, 1061, 1132, 13025
150000, 5000, 113144, 1189, 1410, 13500
155000, 5000, 111455, 1038, 1165, 13992
160000, 5000, 115598, 1196, 1621, 13891
165000, 5000, 115267, 1168, 1407, 14205
170000, 5000, 110777, 1202, 1404, 14069
175000, 5000, 111680, 1193, 1405, 14068
180000, 5000, 120146, 1203, 1394, 13808
185000, 5000, 115852, 1171, 1425, 14463
190000, 5000, 114487, 1216, 1400, 13831
195000, 5000, 111525, 1178, 1406, 14204
200000, 5000, 114103, 1196, 1419, 13963
205000, 5000, 115644, 1315, 1564, 14505
210000, 5000, 120739, 1214, 1404, 12978
215000, 5000, 109511, 1265, 1459, 13763
220000, 5000, 119094, 1236, 1419, 13955
225000, 5000, 116250, 1160, 1394, 13698
230000, 5000, 130453, 1194, 1413, 13827
235000, 5000, 115240, 1195, 1448, 14151
240000, 5000, 111580, 1189, 1422, 14220
245000, 5000, 114023, 1180, 1420, 14335
250000, 5000, 109729, 1181, 1435, 13710
255000, 5000, 130366, 1182, 1403, 13113
260000, 5000, 109155, 1203, 1427, 14379
265000, 5000, 109872, 1194, 1415, 14197
270000, 5000, 115705, 1167, 1297, 14145
275000, 5000, 102514, 1194, 1426, 13815
280000, 5000, 113710, 1202, 1310, 14222
285000, 5000, 109665, 1170, 1388, 13408
290000, 5000, 113432, 1200, 1408, 13949
295000, 5000, 115234, 1203, 1430, 14524
