dbsize, batchsize, write-batch(ms), SQL-Recursion(ms)
5000, 5000, 33804, 12421
10000, 5000, 27488, 4291
15000, 5000, 27954, 2211
20000, 5000, 28039, 2396
25000, 5000, 28001, 2641
30000, 5000, 28243, 2906
35000, 5000, 28281, 3594
40000, 5000, 32794, 3543
45000, 5000, 27812, 3792
50000, 5000, 28572, 4130
55000, 5000, 27995, 4424
60000, 5000, 28972, 1210
65000, 5000, 29186, 1346
70000, 5000, 30275, 1236
75000, 5000, 28820, 1202
80000, 5000, 28126, 1204
85000, 5000, 28225, 1204
90000, 5000, 28335, 1195
95000, 5000, 27347, 1405
100000, 5000, 28244, 1206
105000, 5000, 28311, 1192
110000, 5000, 28278, 1166
115000, 5000, 28272, 1204
120000, 5000, 28842, 1212
125000, 5000, 28506, 1175
130000, 5000, 28345, 1175
135000, 5000, 28013, 1198
140000, 5000, 28730, 1147
145000, 5000, 28843, 1219
150000, 5000, 27782, 1213
155000, 5000, 28280, 1262
160000, 5000, 28451, 1198
165000, 5000, 28598, 1185
170000, 5000, 28474, 1105
175000, 5000, 27073, 1143
180000, 5000, 28121, 1083
185000, 5000, 28475, 1166
190000, 5000, 27974, 1178
195000, 5000, 28034, 1165
200000, 5000, 28194, 1187
205000, 5000, 28320, 1175
210000, 5000, 28390, 1035
215000, 5000, 27693, 1167
220000, 5000, 28713, 1179
225000, 5000, 28715, 1148
230000, 5000, 28608, 1163
235000, 5000, 28531, 1175
240000, 5000, 28371, 1178
245000, 5000, 28228, 1165
250000, 5000, 28358, 1172
255000, 5000, 28500, 1132
260000, 5000, 28202, 1162
265000, 5000, 28764, 1188
270000, 5000, 28637, 1147
275000, 5000, 29583, 1282
280000, 5000, 34362, 1233
285000, 5000, 32716, 1174
290000, 5000, 29207, 1180
295000, 5000, 29201, 1180
300000, 5000, 28478, 1177
305000, 5000, 28826, 1369
310000, 5000, 28539, 1137
315000, 5000, 28698, 1172
320000, 5000, 29554, 1202
325000, 5000, 28781, 1181
330000, 5000, 28960, 1176
335000, 5000, 28901, 1178
340000, 5000, 28659, 1173
345000, 5000, 28467, 1172
350000, 5000, 32071, 1158
355000, 5000, 28799, 1366
360000, 5000, 28159, 1161
365000, 5000, 28802, 1178
370000, 5000, 29153, 1177
375000, 5000, 28453, 1211
380000, 5000, 28693, 1169
385000, 5000, 28712, 1169
390000, 5000, 28441, 1159
395000, 5000, 28569, 1155
400000, 5000, 28534, 1192
405000, 5000, 29327, 1191
410000, 5000, 28596, 1199
415000, 5000, 28753, 1176
420000, 5000, 28415, 1193
425000, 5000, 28595, 1091
430000, 5000, 28420, 1173
435000, 5000, 28510, 1188
440000, 5000, 28289, 1186
445000, 5000, 28940, 1210
450000, 5000, 29534, 1186
455000, 5000, 28678, 1172
460000, 5000, 28820, 1202
465000, 5000, 28098, 1161
470000, 5000, 28795, 1173
475000, 5000, 28653, 1157
480000, 5000, 28629, 1180
485000, 5000, 28294, 1176
490000, 5000, 28617, 1156
495000, 5000, 29285, 1166
500000, 5000, 28936, 1198
505000, 5000, 28667, 1154
510000, 5000, 28632, 1155
515000, 5000, 29061, 1182
520000, 5000, 28436, 1173
525000, 5000, 28089, 1185
530000, 5000, 28538, 1195
535000, 5000, 28415, 1185
540000, 5000, 28553, 1184
545000, 5000, 28498, 1161
550000, 5000, 28391, 1223
555000, 5000, 28854, 1478
560000, 5000, 28961, 1181
565000, 5000, 28643, 1178
570000, 5000, 28556, 1224
575000, 5000, 28807, 1153
580000, 5000, 28821, 1177
585000, 5000, 28647, 1188
590000, 5000, 28465, 1197
595000, 5000, 29176, 1196
600000, 5000, 28501, 1200
605000, 5000, 28382, 1193
610000, 5000, 29043, 1191
615000, 5000, 29011, 1197
620000, 5000, 28417, 1177
625000, 5000, 29048, 1186
630000, 5000, 28435, 1188
635000, 5000, 28720, 1192
640000, 5000, 28720, 1185
645000, 5000, 28271, 1209
650000, 5000, 29326, 1197
655000, 5000, 28802, 1192
660000, 5000, 28587, 1194
665000, 5000, 28645, 1178
670000, 5000, 28659, 1203
675000, 5000, 28496, 1167
680000, 5000, 29017, 1183
685000, 5000, 29319, 1164
690000, 5000, 28295, 1205
695000, 5000, 29156, 1196
700000, 5000, 28699, 1175
705000, 5000, 29022, 1191
710000, 5000, 28806, 1211
715000, 5000, 28690, 1206
720000, 5000, 28402, 1207
725000, 5000, 28874, 1227
730000, 5000, 28924, 1181
735000, 5000, 28831, 1212
740000, 5000, 28813, 1191
745000, 5000, 28101, 1210
750000, 5000, 28717, 1192
755000, 5000, 28878, 1202
760000, 5000, 29419, 1200
765000, 5000, 28734, 1205
770000, 5000, 28635, 1204
775000, 5000, 28942, 1418
780000, 5000, 28714, 1206
785000, 5000, 28667, 1228
790000, 5000, 29022, 1197
795000, 5000, 28770, 1219
800000, 5000, 29004, 1225
805000, 5000, 28681, 1211
810000, 5000, 28931, 1192
815000, 5000, 28651, 1208
820000, 5000, 28739, 1204
825000, 5000, 31653, 1197
830000, 5000, 28963, 1196
